date,Pair,Open,High,Low,Close,ema_21,ema_50,stochastic,stochastic_ma,stochastic_signal
2023-01-07 16:00:00+00:00,BTC-USD,16944.77734375,16944.77734375,16923.494140625,16926.69921875,,,,,
2023-01-07 17:00:00+00:00,BTC-USD,16925.9765625,16937.0390625,16925.9765625,16936.33203125,,,,,
2023-01-07 18:00:00+00:00,BTC-USD,16936.548828125,16944.259765625,16935.404296875,16944.259765625,,,,,
2023-01-07 19:00:00+00:00,BTC-USD,16944.1484375,16947.669921875,16942.994140625,16947.669921875,,,,,
2023-01-07 20:00:00+00:00,BTC-USD,16947.837890625,16950.63671875,16943.80078125,16950.63671875,,,,,
2023-01-07 21:00:00+00:00,BTC-USD,16950.095703125,16951.65625,16942.93359375,16948.73828125,,,,,
2023-01-07 22:00:00+00:00,BTC-USD,16947.126953125,16947.126953125,16939.22265625,16944.046875,,,,,
2023-01-07 23:00:00+00:00,BTC-USD,16943.806640625,16955.140625,16940.68359375,16955.140625,,,,,
2023-01-08 00:00:00+00:00,BTC-USD,16954.146484375,16961.7890625,16924.05078125,16933.21875,,,,,
2023-01-08 01:00:00+00:00,BTC-USD,16933.576171875,16942.978515625,16927.107421875,16939.9765625,,,43.04075075228235,,
2023-01-08 02:00:00+00:00,BTC-USD,16939.50390625,16941.072265625,16927.873046875,16934.298828125,,,27.155573957147293,,
2023-01-08 03:00:00+00:00,BTC-USD,16934.765625,16947.6015625,16932.787109375,16947.205078125,,,61.35493220163544,43.85041897035503,
2023-01-08 04:00:00+00:00,BTC-USD,16947.35546875,16948.6015625,16940.611328125,16940.611328125,,,43.88262084670324,44.13104233516199,
2023-01-08 05:00:00+00:00,BTC-USD,16940.529296875,16948.947265625,16938.88671875,16948.794921875,,,65.56774661008177,56.935099886140144,
2023-01-08 06:00:00+00:00,BTC-USD,16948.4140625,16948.625,16943.833984375,16947.01171875,,,60.84256288168927,56.76431011282477,
